"","cut","ratio"
"1","Blended Burger",0.023432446702785
"2","Beef Patties",0.0119792289237618
"3","Ground Beef",0.0110970472542351
"4","Bone-in Strip",0.00429096863551537
"5","Chuck Roll",0.00329603634329137
"6","Boneless Ribeye",0.00218962053501888
"7","Tenderloin",0.00174283117155245
"8","Top Round",0.00173885847851725
"9","Bones",0.00156363876387719
"10","Should Clod",0.001538766661358
"11","Brisket",0.00153829589226517
"12","Chuck Underblade",0.00132144783693766
"13","Sirloin",0.00131261913619652
"14","Shanks",0.00126849093043882
"15","Chuck Eye",0.00112345611633945
"16","Bottom Round",0.00107800374232762
"17","Top Blade",0.000955757817258303
"18","Navel",0.000932585855368487
"19","Short Ribs",0.000618078847031189
"20","Eye Round",0.000553271716826583
"21","Flap",0.000419516384517603
"22","Tri-tip",0.000397803367880588
"23","Skirt",0.000394091149092294
"24","Flank",0.000244980783153958
"25","Teres Major",0.000121420868094216
"26","Hanger",0.000116733852766384
"27","Oxtail",8.46037233740118e-05
"28","Tongue",7.47873347939593e-05
